Season,RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2018,224,Eric Moreland,DET,67,12,0.531,30.7,16.2,10.1,10.9,27.6,19.1,13.99,29.9,1
2018,225,Bojan Bogdanovic,IND,80,30.8,0.605,10.2,9.1,17.9,1.4,10.9,6.2,13.98,128.1,4.3
2018,226,Danilo Gallinari,LAC,21,32,0.545,11.3,7.2,19.6,1.5,14.9,8.3,13.96,34.6,1.2
2018,227,Mike James,NO,36,19.1,0.469,23.6,9.2,25.8,2,12.2,7,13.94,0,0
2018,227,Mike James,PHX,36,19.1,0.469,23.6,9.2,25.8,2,12.2,7,13.94,0,0
2018,228,Marvin Williams,CHA,78,25.7,0.603,12.3,8.5,14.1,3.9,16.3,10,13.9,71.8,2.4
2018,,Brandon Ingram,LAL,59,33.5,0.536,18.2,11.8,21.8,3.1,13.8,8.5,13.9,100.1,3.3
2018,230,Anthony Tolliver,DET,79,22.2,0.663,13.3,8.5,14.2,3.1,12.3,7.6,13.89,62.7,2.1
2018,231,JaKarr Sampson,SAC,22,15.6,0.585,8.6,7.6,11.8,6.7,19.7,12.9,13.88,17.4,0.6
2018,232,Marreese Speights,ORL,52,13,0.539,8.8,8.8,25.1,3.4,18.4,10.8,13.76,22.7,0.8
2018,233,Mario Hezonja,ORL,75,22.1,0.544,12.4,10.1,18.8,2.7,16.1,9.3,13.73,79.9,2.7
2018,234,Mike Scott,WSH,76,18.5,0.599,11.2,11,19,4,15.8,9.9,13.72,46.7,1.6
2018,235,Jaylen Brown,BOS,70,30.7,0.562,10,10.8,20.1,3.4,14,8.8,13.69,102.4,3.4
2018,236,Chandler Parsons,MEM,36,19.2,0.578,19.7,10,18,2.3,13,7.5,13.67,32.7,1.1
2018,237,Tristan Thompson,CLE,53,20.2,0.569,9.7,10.6,11.8,13.4,23.3,18.4,13.66,49,1.6
2018,,Reggie Bullock,DET,62,27.9,0.615,13.4,6.6,15.1,1.7,8.3,4.9,13.66,81.7,2.7
2018,239,Josh Richardson,MIA,81,33.2,0.551,17.5,10.6,17.6,2.9,9,5.9,13.6,124.3,4.1
2018,240,Luke Kornet,NY,20,16.4,0.516,15.5,7.2,18.5,3.7,17.9,10.9,13.59,10.2,0.3
2018,241,Mirza Teletovic,MIL,10,15.9,0.623,13.5,9.5,17.1,2.2,14.7,8.5,13.53,0,0
2018,242,Isaiah Canaan,HOU,20,21.1,0.539,28.7,11,10,1.5,10,5.7,13.52,0,0
2018,242,Isaiah Canaan,PHX,20,21.1,0.539,28.7,11,10,1.5,10,5.7,13.52,0,0
2018,243,Bogdan Bogdanovic,SAC,78,27.9,0.556,21.4,10.4,19.5,1.6,10.5,5.8,13.51,97.6,3.3
2018,244,Maximilian Kleber,DAL,72,16.8,0.576,12.3,7.2,12.9,6.3,15.6,10.8,13.45,35.1,1.2
