Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,,Kosta Koufos,80,16.9,0.514,6.4,11.1,18,14,22.7,18.4,16.54,119.6,4
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,108,Ed Davis,63,15.2,0.542,6.8,10.1,16.5,11.4,20.9,16.1,15.99,64,2.1
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,119,Tony Allen,55,23.2,0.531,14.5,13.8,19.2,7.3,12,9.6,15.64,98.1,3.3
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,182,Courtney Lee,79,25,0.574,13.5,8.6,18.2,1.7,9.5,5.5,13.8,97.2,3.2
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,215,Beno Udrih,41,15.7,0.523,32.8,13.3,17.6,1.8,9.2,5.4,12.73,16.6,0.6
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,229,Mike Miller,82,20.8,0.619,19.3,11.4,14.4,2.1,12.3,7.2,12.5,51,1.7
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,235,Nick Calathes,71,16.5,0.506,31.8,15.5,18.3,2.3,11.5,6.9,12.36,32.5,1.1
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,245,Jerryd Bayless,72,23.4,0.498,20.5,8.7,19.7,1.5,8.6,5,12.04,26.2,0.9
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,322,Tayshaun Prince,76,25.6,0.438,17.5,6,12.8,1.9,12.3,7.1,8.18,-67.4,-2.2
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,12,Dirk Nowitzki,80,32.9,0.603,12.2,6.6,24.9,1.8,20,10.9,23.68,477.7,15.9
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,13,Brandan Wright,58,18.6,0.695,7,7.9,15.8,11,15.1,13.1,23.6,194.5,6.5
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,71,DeJuan Blair,78,15.6,0.557,11.8,13,18.1,13.3,21.6,17.5,17.33,121.9,4.1
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,77,Samuel Dalembert,80,20.2,0.605,6.7,15.9,13.5,14.4,24.2,19.4,16.88,151.3,5
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,78,Monta Ellis,82,36.9,0.532,21.4,12,25.1,1.5,9.8,5.6,16.83,285.4,9.5
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,109,Vince Carter,81,24.4,0.539,17.4,8.9,21.9,4,12.6,8.3,15.97,161.2,5.4
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,,Jose Calderon,81,30.5,0.596,30,8.2,16.4,1.4,7.6,4.5,15.25,156.4,5.2
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,147,Devin Harris,40,20.5,0.517,32.9,10.9,20.8,1.1,10.8,6,14.66,44.6,1.5
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,183,Shawn Marion,76,31.7,0.537,13,9.9,14.6,6.4,17.4,11.9,13.78,117.9,3.9
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4,248,Jae Crowder,78,16.1,0.551,14.2,9.7,12.3,4.3,13.5,8.9,11.89,26.1,0.9
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,25,Kyle Lowry,79,36.2,0.567,28.9,9.6,23.4,3.6,11.5,7.5,20.2,392.9,13.1
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,56,DeMar DeRozan,79,38.2,0.532,14.4,8.1,26.6,2,11.3,6.6,18.42,356.8,11.9
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,57,Rudy Gay,73,34.7,0.54,11.7,12.6,25.2,5,14.7,9.8,18.4,298.3,9.9
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,98,D.J. Augustin,71,27.3,0.569,24.9,10,22.6,0.9,6.7,3.8,16.22,151,5
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,101,Jonas Valanciunas,81,28.2,0.579,5.8,13.8,16.9,11.5,25.1,18.2,16.17,189.6,6.3
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,123,Amir Johnson,77,28.8,0.592,12.6,13.5,15.4,9,17.6,13.3,15.44,130.2,4.3
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,146,Patrick Patterson,65,23.6,0.533,11.8,9.8,14.4,8.8,17.1,12.9,14.67,72.6,2.4
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,160,Tyler Hansbrough,64,15.3,0.562,5,13.8,13.8,14.2,20,17.1,14.2,39.4,1.3
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,,Greivis Vasquez,79,22.5,0.537,27.9,11.1,19.1,1.3,10,5.6,14.2,84.8,2.8
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,242,Terrence Ross,81,26.7,0.553,8.2,9.2,17.2,2.3,11.3,6.8,12.09,51.4,1.7
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,270,Steve Novak,54,10,0.599,7.8,3,11.9,1.7,10.9,6.3,11.1,4.8,0.2
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,291,Quincy Acy,63,13.4,0.52,12.6,13.5,9.3,9.5,19.5,14.4,10.14,-4.5,-0.2
