Season,Player,position,age,Team,gp,gs,mpg,FG,FGa,FGp,3_PPG,3_PA,3_PP,2_PPG,2_PA,2_PP,FT,FTa,FTp,orb,drb,trb,ast,stl,blk,tov,PF,ppg
2014,Chase Budinger,SF,25,MIN,41,8,18.3,2.4,6.2,0.394,1,2.9,0.35,1.4,3.3,0.433,0.8,1,0.821,0.5,2,2.5,0.8,0.5,0,0.6,1.4,6.7
2014,Reggie Bullock,SF,22,LAC,43,0,9.2,1,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.438,0.2,0.2,0.778,0.3,1,1.3,0.3,0.2,0,0.3,0.6,2.7
2014,Trey Burke,PG,21,UTAH,70,68,32.3,4.9,12.8,0.38,1.6,4.8,0.33,3.3,8,0.41,1.5,1.6,0.903,0.5,2.4,3,5.7,0.6,0.1,1.9,2.1,12.8
2014,Alec Burks,SG,22,UTAH,78,12,28.1,4.9,10.7,0.457,0.6,1.8,0.35,4.2,8.8,0.48,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14
2014,Caron Butler,SF,33,,56,13,25.3,3.8,9.6,0.394,1.8,4.4,0.394,2.1,5.2,0.395,1.1,1.3,0.84,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,10.5
2014,Caron Butler,SF,33,MIL,34,13,24.1,4,10.4,0.387,1.6,4.3,0.361,2.5,6.1,0.406,1.4,1.6,0.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11
2014,Caron Butler,SF,33,OKC,22,0,27.2,3.5,8.5,0.409,2,4.6,0.441,1.4,3.8,0.369,0.7,0.9,0.842,0.2,3,3.2,1.2,1.1,0.3,0.4,2.5,9.7
2014,Jimmy Butler,SG,24,CHI,67,67,38.7,4.1,10.3,0.397,1,3.6,0.283,3.1,6.8,0.457,3.9,5,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1
2014,Rasual Butler,SG,34,IND,50,2,7.6,1,2.2,0.464,0.5,1.2,0.419,0.5,1,0.521,0.2,0.3,0.571,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7
2014,Dwight Buycks,PG,24,TOR,14,0,10.4,1.1,3.4,0.313,0.4,1.2,0.294,0.7,2.2,0.323,0.6,0.6,0.889,0.3,1.4,1.6,0.7,0.6,0,0.7,0.8,3.1
2014,Andrew Bynum,C,26,,26,19,19.8,3.6,8.7,0.418,0,0,,3.6,8.7,0.418,1.4,1.9,0.755,2,3.5,5.6,1.1,0.2,1.1,1.3,1.2,8.7
2014,Andrew Bynum,C,26,CLE,24,19,20,3.5,8.5,0.419,0,0,,3.5,8.5,0.419,1.3,1.8,0.762,2,3.3,5.3,1.1,0.3,1.2,1.3,1.2,8.4
2014,Andrew Bynum,C,26,IND,2,0,18,4.5,11,0.409,0,0,,4.5,11,0.409,2.5,3.5,0.714,3,6.5,9.5,1,0,0.5,2,1.5,11.5
