Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,,Ronnie Brewer,24,6.7,0.22,35.9,7.2,0,1.5,7.9,4.9,3.43,-16.9,-0.6
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,462,Josh Powell,1,19,0.333,0,14.3,14.4,0,27.7,14.6,2.55,-2.5,-0.1
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,21,LaMarcus Aldridge,69,36.2,0.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,56,Damian Lillard,82,35.8,0.568,21.3,9,24.7,1.3,9.2,5.3,18.69,337.1,11.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,73,Robin Lopez,82,31.8,0.605,8,9.3,13,13.6,15.3,14.5,17.68,275.2,9.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,126,Nicolas Batum,82,36,0.589,27.3,13.5,16.8,4.3,17.8,11.1,15.86,236.7,7.9
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,129,Wesley Matthews,82,33.9,0.588,13.6,7.6,18.7,2,9.1,5.6,15.7,215.9,7.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,180,Thomas Robinson,70,12.5,0.502,7.9,13.3,18.4,13.1,24.6,18.9,14.15,34.6,1.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,206,Will Barton,41,9.4,0.488,14.9,8.1,20.3,4.5,16,10.3,13.6,17.9,0.6
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,286,Dorell Wright,68,14.5,0.524,14.9,9.1,15.6,3.2,17.5,10.5,11.98,21.7,0.7
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,,Mo Williams,74,24.8,0.507,27.2,12.6,20.9,2.5,6.4,4.5,11.87,23.7,0.8
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,307,Joel Freeland,52,14,0.498,14.8,13.2,11.9,13.2,17.6,15.4,11.34,8,0.3
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,371,Meyers Leonard,40,8.9,0.489,13.5,11.3,13.5,8,25.5,16.8,9.45,-6.1,-0.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,382,CJ McCollum,38,12.5,0.521,10.6,13.7,19.7,1.6,9.2,5.4,9,-10.7,-0.4
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,385,Victor Claver,21,8.8,0.502,17.2,15.8,13.3,5.3,17.4,11.4,8.81,-7.4,-0.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,412,Allen Crabbe,15,6.7,0.475,13.7,6.9,15.7,1.1,8.5,4.8,7.69,-4.2,-0.1
